complaint,priority
There is a foul smell from the nearby drainage.,Medium
Canteen food is overpriced.,Medium
Computer lab requires software updates.,Medium
Electric plug points are damaged in the reading room.,Low
Electric plug points are damaged in the reading room.,Low
Delay in certificate issue from admin.,Low
Insects in hostel rooms are causing health issues.,High
Need more books in the library.,Low
There is a foul smell from the nearby drainage.,Medium
The drinking water cooler is not functioning.,Medium
The classroom fan is not working.,Low
Security guard is not available during night shifts.,High
The lift in the hostel is not working.,High
Food quality in the mess is deteriorating.,Medium
There is water leakage in the hostel bathroom.,High
There is a foul smell from the nearby drainage.,Medium
The lift in the hostel is not working.,High
Computer lab requires software updates.,Medium
Security guard is not available during night shifts.,High
Electric plug points are damaged in the reading room.,Low
Computer lab requires software updates.,Medium
More parking space is required.,Low
AC is not working in the computer lab.,High
There is a foul smell from the nearby drainage.,Medium
Unfair grading in the last exam.,Medium
The water tank overflows daily.,Medium
Change of teacher is required due to continuous absence.,High
There is water leakage in the hostel bathroom.,High
Loud noise from construction work near classrooms.,Medium
Need more books in the library.,Low
The water tank overflows daily.,Medium
Washrooms are not cleaned regularly.,High
More parking space is required.,Low
The lift in the hostel is not working.,High
The drinking water cooler is not functioning.,Medium
Unavailability of professors during office hours.,Low
AC is not working in the computer lab.,High
The water tank overflows daily.,Medium
Loud noise from construction work near classrooms.,Medium
Insects in hostel rooms are causing health issues.,High
Need more books in the library.,Low
AC is not working in the computer lab.,High
There is water leakage in the hostel bathroom.,High
Electric plug points are damaged in the reading room.,Low
Unavailability of professors during office hours.,Low
Unhygienic conditions in the mess.,High
Change of teacher is required due to continuous absence.,High
The exam schedule is not published yet.,Low
Canteen food is overpriced.,Medium
The lift in the hostel is not working.,High
Electric plug points are damaged in the reading room.,Low
Loud noise from construction work near classrooms.,Medium
The lift in the hostel is not working.,High
The classroom fan is not working.,Low
There is a foul smell from the nearby drainage.,Medium
The lift in the hostel is not working.,High
Unavailability of professors during office hours.,Low
Wi-Fi is not working in the library.,Medium
AC is not working in the computer lab.,High
Unavailability of professors during office hours.,Low
The exam schedule is not published yet.,Low
There are too many mosquitoes in the hostel.,Medium
Insects in hostel rooms are causing health issues.,High
Change of teacher is required due to continuous absence.,High
There are too many mosquitoes in the hostel.,Medium
Security guard is not available during night shifts.,High
Security guard is not available during night shifts.,High
There is water leakage in the hostel bathroom.,High
Unavailability of professors during office hours.,Low
Security guard is not available during night shifts.,High
There are too many mosquitoes in the hostel.,Medium
Computer lab requires software updates.,Medium
Food quality in the mess is deteriorating.,Medium
There is a foul smell from the nearby drainage.,Medium
Unavailability of professors during office hours.,Low
Delay in certificate issue from admin.,Low
The classroom fan is not working.,Low
Unhygienic conditions in the mess.,High
The exam schedule is not published yet.,Low
The water tank overflows daily.,Medium
Unhygienic conditions in the mess.,High
Unhygienic conditions in the mess.,High
Washrooms are not cleaned regularly.,High
Unhygienic conditions in the mess.,High
Change of teacher is required due to continuous absence.,High
Food quality in the mess is deteriorating.,Medium
The water tank overflows daily.,Medium
Canteen food is overpriced.,Medium
Wi-Fi is not working in the library.,Medium
Unhygienic conditions in the mess.,High
The exam schedule is not published yet.,Low
Washrooms are not cleaned regularly.,High
The water tank overflows daily.,Medium
There are too many mosquitoes in the hostel.,Medium
More parking space is required.,Low
Loud noise from construction work near classrooms.,Medium
More parking space is required.,Low
The lift in the hostel is not working.,High
Need more books in the library.,Low
The classroom fan is not working.,Low
Delay in certificate issue from admin.,Low
AC is not working in the computer lab.,High
Unfair grading in the last exam.,Medium
Security guard is not available during night shifts.,High
AC is not working in the computer lab.,High
Canteen food is overpriced.,Medium
Unfair grading in the last exam.,Medium
The drinking water cooler is not functioning.,Medium
AC is not working in the computer lab.,High
There is water leakage in the hostel bathroom.,High
The lift in the hostel is not working.,High
Security guard is not available during night shifts.,High
The exam schedule is not published yet.,Low
The classroom fan is not working.,Low
Wi-Fi is not working in the library.,Medium
AC is not working in the computer lab.,High
Change of teacher is required due to continuous absence.,High
Food quality in the mess is deteriorating.,Medium
Unavailability of professors during office hours.,Low
Canteen food is overpriced.,Medium
The classroom fan is not working.,Low
Wi-Fi is not working in the library.,Medium
The classroom fan is not working.,Low
The lift in the hostel is not working.,High
Wi-Fi is not working in the library.,Medium
Change of teacher is required due to continuous absence.,High
Security guard is not available during night shifts.,High
Insects in hostel rooms are causing health issues.,High
Need more books in the library.,Low
Delay in certificate issue from admin.,Low
Electric plug points are damaged in the reading room.,Low
The classroom fan is not working.,Low
Unhygienic conditions in the mess.,High
Wi-Fi is not working in the library.,Medium
There is a foul smell from the nearby drainage.,Medium
Security guard is not available during night shifts.,High
There are too many mosquitoes in the hostel.,Medium
There are too many mosquitoes in the hostel.,Medium
AC is not working in the computer lab.,High
The classroom fan is not working.,Low
There is a foul smell from the nearby drainage.,Medium
There is a foul smell from the nearby drainage.,Medium
Washrooms are not cleaned regularly.,High
Unhygienic conditions in the mess.,High
Washrooms are not cleaned regularly.,High
The water tank overflows daily.,Medium
The lift in the hostel is not working.,High
Delay in certificate issue from admin.,Low
Washrooms are not cleaned regularly.,High
Electric plug points are damaged in the reading room.,Low
Unhygienic conditions in the mess.,High
Insects in hostel rooms are causing health issues.,High
There is a foul smell from the nearby drainage.,Medium
There are too many mosquitoes in the hostel.,Medium
More parking space is required.,Low
Washrooms are not cleaned regularly.,High
Computer lab requires software updates.,Medium
The exam schedule is not published yet.,Low
Unfair grading in the last exam.,Medium
Electric plug points are damaged in the reading room.,Low
There are too many mosquitoes in the hostel.,Medium
Security guard is not available during night shifts.,High
Unavailability of professors during office hours.,Low
Unhygienic conditions in the mess.,High
The drinking water cooler is not functioning.,Medium
Unhygienic conditions in the mess.,High
Security guard is not available during night shifts.,High
AC is not working in the computer lab.,High
Need more books in the library.,Low
There are too many mosquitoes in the hostel.,Medium
Insects in hostel rooms are causing health issues.,High
Delay in certificate issue from admin.,Low
Washrooms are not cleaned regularly.,High
Loud noise from construction work near classrooms.,Medium
Unavailability of professors during office hours.,Low
Loud noise from construction work near classrooms.,Medium
Delay in certificate issue from admin.,Low
The classroom fan is not working.,Low
Unavailability of professors during office hours.,Low
The lift in the hostel is not working.,High
The water tank overflows daily.,Medium
Insects in hostel rooms are causing health issues.,High
The classroom fan is not working.,Low
More parking space is required.,Low
The classroom fan is not working.,Low
Unfair grading in the last exam.,Medium
There is a foul smell from the nearby drainage.,Medium
Electric plug points are damaged in the reading room.,Low
More parking space is required.,Low
Canteen food is overpriced.,Medium
Canteen food is overpriced.,Medium
Unfair grading in the last exam.,Medium
Electric plug points are damaged in the reading room.,Low
Loud noise from construction work near classrooms.,Medium
The classroom fan is not working.,Low
The water tank overflows daily.,Medium
Need more books in the library.,Low
Change of teacher is required due to continuous absence.,High
There are too many mosquitoes in the hostel.,Medium
Insects in hostel rooms are causing health issues.,High
Food quality in the mess is deteriorating.,Medium
Delay in certificate issue from admin.,Low
The exam schedule is not published yet.,Low
Unavailability of professors during office hours.,Low
Loud noise from construction work near classrooms.,Medium
Loud noise from construction work near classrooms.,Medium
There is water leakage in the hostel bathroom.,High
The exam schedule is not published yet.,Low
Wi-Fi is not working in the library.,Medium
Computer lab requires software updates.,Medium
There is a foul smell from the nearby drainage.,Medium
There are too many mosquitoes in the hostel.,Medium
Insects in hostel rooms are causing health issues.,High
Change of teacher is required due to continuous absence.,High
Delay in certificate issue from admin.,Low
Wi-Fi is not working in the library.,Medium
Computer lab requires software updates.,Medium
Unhygienic conditions in the mess.,High
Electric plug points are damaged in the reading room.,Low
There is water leakage in the hostel bathroom.,High
